;Estimate;Std, Error;z value;p value
All sites;;;;
Intercept;3,48;0,05;67,5;< 0,001
Temperature niche;0,27;0,02;16,0;< 0,001
Natural frequency;0,07;0,01;6,6;< 0,001
Site 1;;;;
Intercept;-1,02;0,34;-2987,0;0,003
Temperature niche;0,84;0,10;8,1;< 0,001
Natural frequency;-0,16;0,03;-4,8;< 0,001
Site 2;;;;
Intercept;1,26;0,16;7,8;< 0,001
Temperature niche;0,40;0,05;7,6;< 0,001
Natural frequency;0,02;0,01;1,8;0,08
Site 3;;;;
Intercept;2,12;0,11;20,1;< 0,001
Temperature niche;0,30;0,03;9,5;< 0,001
Natural frequency;0,03;0,01;3,3;0,001
Site 4;;;;
Intercept;2,06;0,12;17,9;< 0,001
Temperature niche;0,27;0,03;8,1;< 0,001
Natural frequency;0,05;0,01;4,3;< 0,001
Site 5;;;;
Intercept;2,49;0,13;19,0;< 0,001
Temperature niche;0,24;0,04;6,6;< 0,001
Natural frequency;-0,02;0,03;-0,5;0,636
